PRODUCT,DRAW NUMBER,SEQUENCE NUMBER,DRAW DATE,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,NUMBER DRAWN 7,BONUS NUMBER
LOTTO MAX,67,11,31/12/2010,3,10,28,29,36,43,45,0
LOTTO MAX,67,12,31/12/2010,5,12,19,27,34,35,40,0
LOTTO MAX,67,13,31/12/2010,8,26,27,30,34,47,48,0
LOTTO MAX,67,14,31/12/2010,1,2,4,15,30,42,47,0
LOTTO MAX,67,15,31/12/2010,1,6,12,13,19,21,41,0
LOTTO MAX,67,16,31/12/2010,2,6,13,14,20,48,49,0
LOTTO MAX,67,17,31/12/2010,9,15,20,22,23,27,31,0
LOTTO MAX,67,18,31/12/2010,9,12,17,18,27,29,44,0
LOTTO MAX,67,19,31/12/2010,22,28,37,40,41,42,43,0
LOTTO MAX,67,20,31/12/2010,9,12,14,22,36,39,45,0
LOTTO MAX,67,21,31/12/2010,1,8,17,20,22,38,40,0
LOTTO MAX,68,0,07/01/2011,2,10,13,15,23,28,49,40
LOTTO MAX,69,0,14/01/2011,2,6,10,12,24,30,37,3
LOTTO MAX,70,0,21/01/2011,2,18,19,29,42,47,49,17
LOTTO MAX,71,0,28/01/2011,7,10,14,20,21,23,31,41
LOTTO MAX,71,1,28/01/2011,5,8,9,18,39,44,49,0
LOTTO MAX,71,2,28/01/2011,12,27,29,32,37,42,43,0
LOTTO MAX,71,3,28/01/2011,6,18,25,26,29,36,42,0
LOTTO MAX,71,4,28/01/2011,20,21,22,26,28,44,48,0
LOTTO MAX,71,5,28/01/2011,11,20,33,39,40,41,46,0
LOTTO MAX,71,6,28/01/2011,2,12,17,19,24,27,32,0
LOTTO MAX,71,7,28/01/2011,16,18,20,23,31,32,37,0
LOTTO MAX,71,8,28/01/2011,1,16,31,34,39,42,46,0
LOTTO MAX,71,9,28/01/2011,20,21,23,28,32,34,48,0
LOTTO MAX,71,10,28/01/2011,10,13,15,21,38,44,48,0
LOTTO MAX,71,11,28/01/2011,8,18,20,24,40,42,44,0
LOTTO MAX,71,12,28/01/2011,13,15,29,34,40,41,42,0
LOTTO MAX,71,13,28/01/2011,6,7,25,26,32,33,47,0
LOTTO MAX,72,0,04/02/2011,1,3,13,18,19,39,48,40
LOTTO MAX,73,0,11/02/2011,4,6,13,19,26,29,47,43
LOTTO MAX,74,0,18/02/2011,3,7,12,16,20,42,48,31
LOTTO MAX,75,0,25/02/2011,3,14,19,30,32,39,46,8
LOTTO MAX,75,1,25/02/2011,2,13,23,37,45,47,48,0
LOTTO MAX,75,2,25/02/2011,6,9,16,17,19,31,42,0
LOTTO MAX,75,3,25/02/2011,2,12,31,34,45,48,49,0
LOTTO MAX,75,4,25/02/2011,2,5,10,19,22,42,45,0
LOTTO MAX,75,5,25/02/2011,2,9,11,13,29,39,44,0
LOTTO MAX,75,6,25/02/2011,5,10,19,28,37,39,43,0
LOTTO MAX,75,7,25/02/2011,5,6,16,27,31,36,48,0
LOTTO MAX,76,0,04/03/2011,3,18,27,29,32,33,35,47
LOTTO MAX,76,1,04/03/2011,4,10,25,36,37,41,42,0
LOTTO MAX,76,2,04/03/2011,1,9,13,14,18,20,24,0
LOTTO MAX,76,3,04/03/2011,1,2,8,10,13,18,44,0
LOTTO MAX,76,4,04/03/2011,5,6,12,20,32,35,36,0
LOTTO MAX,76,5,04/03/2011,2,8,17,26,35,38,48,0
LOTTO MAX,76,6,04/03/2011,6,7,9,16,18,26,28,0
LOTTO MAX,76,7,04/03/2011,1,12,13,15,17,27,29,0
LOTTO MAX,76,8,04/03/2011,2,16,31,39,42,46,48,0
LOTTO MAX,76,9,04/03/2011,7,12,19,21,24,26,38,0
LOTTO MAX,76,10,04/03/2011,7,16,25,28,30,32,48,0
LOTTO MAX,76,11,04/03/2011,2,10,11,12,19,20,37,0
LOTTO MAX,76,12,04/03/2011,5,10,18,25,32,38,40,0
LOTTO MAX,76,13,04/03/2011,12,14,17,24,25,32,47,0
LOTTO MAX,76,14,04/03/2011,9,12,24,37,40,45,47,0
LOTTO MAX,76,15,04/03/2011,4,9,14,32,34,37,48,0
LOTTO MAX,76,16,04/03/2011,2,20,26,38,42,43,46,0
LOTTO MAX,76,17,04/03/2011,17,21,24,26,30,43,49,0
LOTTO MAX,76,18,04/03/2011,1,7,8,25,26,28,31,0
LOTTO MAX,76,19,04/03/2011,3,7,18,25,28,36,46,0
LOTTO MAX,76,20,04/03/2011,1,4,8,14,19,45,48,0
LOTTO MAX,76,21,04/03/2011,8,25,40,41,42,45,46,0
LOTTO MAX,76,22,04/03/2011,12,13,15,20,22,34,47,0
LOTTO MAX,77,0,11/03/2011,2,3,4,20,22,40,43,9
LOTTO MAX,77,1,11/03/2011,2,11,21,28,32,33,38,0
LOTTO MAX,77,2,11/03/2011,4,7,9,13,19,37,47,0
LOTTO MAX,77,3,11/03/2011,10,15,17,29,35,44,46,0
LOTTO MAX,77,4,11/03/2011,2,9,10,13,14,27,41,0
LOTTO MAX,77,5,11/03/2011,2,3,6,12,15,19,36,0
LOTTO MAX,77,6,11/03/2011,3,5,9,14,27,33,46,0
LOTTO MAX,77,7,11/03/2011,7,16,17,21,27,32,40,0
LOTTO MAX,77,8,11/03/2011,4,6,16,27,30,40,42,0
LOTTO MAX,77,9,11/03/2011,6,27,30,33,37,41,47,0
LOTTO MAX,77,10,11/03/2011,1,2,4,20,39,48,49,0
LOTTO MAX,77,11,11/03/2011,13,15,17,22,24,26,43,0
LOTTO MAX,77,12,11/03/2011,3,6,9,12,14,21,36,0
LOTTO MAX,77,13,11/03/2011,7,8,24,30,34,45,48,0
LOTTO MAX,77,14,11/03/2011,7,16,22,24,35,41,47,0
LOTTO MAX,77,15,11/03/2011,20,30,37,40,41,43,45,0
LOTTO MAX,77,16,11/03/2011,4,8,22,27,39,41,46,0
LOTTO MAX,77,17,11/03/2011,2,5,9,23,26,29,31,0
LOTTO MAX,77,18,11/03/2011,22,24,26,38,41,43,44,0
LOTTO MAX,77,19,11/03/2011,4,12,21,24,26,44,48,0
LOTTO MAX,77,20,11/03/2011,17,18,27,30,34,41,45,0
LOTTO MAX,77,21,11/03/2011,6,12,15,16,20,29,31,0
LOTTO MAX,77,22,11/03/2011,14,15,18,29,33,34,47,0
LOTTO MAX,77,23,11/03/2011,11,17,25,37,39,45,46,0
LOTTO MAX,77,24,11/03/2011,17,22,27,28,29,31,38,0
LOTTO MAX,77,25,11/03/2011,3,5,19,25,32,41,48,0
LOTTO MAX,77,26,11/03/2011,1,5,12,17,18,22,47,0
LOTTO MAX,77,27,11/03/2011,3,15,17,18,27,43,49,0
LOTTO MAX,77,28,11/03/2011,9,12,13,22,27,37,47,0
LOTTO MAX,77,29,11/03/2011,18,19,27,28,33,37,43,0
LOTTO MAX,77,30,11/03/2011,8,13,26,35,44,45,47,0
LOTTO MAX,77,31,11/03/2011,5,12,20,27,31,42,49,0
LOTTO MAX,77,32,11/03/2011,3,4,18,25,34,35,36,0
LOTTO MAX,78,0,18/03/2011,2,5,10,21,25,35,49,40
LOTTO MAX,79,0,25/03/2011,1,4,22,25,26,36,46,5
LOTTO MAX,80,0,01/04/2011,5,6,11,12,24,26,34,49
LOTTO MAX,80,1,01/04/2011,7,9,10,18,19,21,29,0
LOTTO MAX,80,2,01/04/2011,4,28,31,32,33,34,49,0
LOTTO MAX,80,3,01/04/2011,6,7,8,18,22,40,41,0
LOTTO MAX,80,4,01/04/2011,5,8,14,19,22,38,41,0
LOTTO MAX,80,5,01/04/2011,1,8,10,17,31,37,43,0
LOTTO MAX,80,6,01/04/2011,16,22,31,32,37,42,45,0
LOTTO MAX,80,7,01/04/2011,20,24,25,27,31,36,44,0
LOTTO MAX,80,8,01/04/2011,10,17,20,21,36,44,46,0
LOTTO MAX,80,9,01/04/2011,5,6,10,11,17,27,45,0
LOTTO MAX,81,0,08/04/2011,13,18,25,41,44,48,49,1
LOTTO MAX,81,1,08/04/2011,3,4,7,17,30,32,38,0
LOTTO MAX,81,2,08/04/2011,4,8,32,39,42,45,49,0
LOTTO MAX,81,3,08/04/2011,2,11,17,24,37,41,46,0
LOTTO MAX,81,4,08/04/2011,2,8,22,29,33,34,35,0
LOTTO MAX,81,5,08/04/2011,8,16,18,25,33,34,48,0
LOTTO MAX,81,6,08/04/2011,4,6,14,31,33,35,48,0
LOTTO MAX,81,7,08/04/2011,9,10,14,25,29,35,46,0
LOTTO MAX,81,8,08/04/2011,8,11,17,19,37,43,45,0
LOTTO MAX,81,9,08/04/2011,5,17,20,21,26,30,45,0
LOTTO MAX,81,10,08/04/2011,10,11,25,41,42,45,46,0
LOTTO MAX,81,11,08/04/2011,14,25,27,35,36,40,43,0
LOTTO MAX,81,12,08/04/2011,7,8,23,29,33,36,39,0
LOTTO MAX,81,13,08/04/2011,2,5,8,11,38,41,45,0
LOTTO MAX,81,14,08/04/2011,5,9,19,22,25,26,41,0
LOTTO MAX,81,15,08/04/2011,2,5,7,10,22,26,28,0
LOTTO MAX,81,16,08/04/2011,2,9,13,28,31,41,46,0
LOTTO MAX,81,17,08/04/2011,3,5,27,32,42,46,48,0
LOTTO MAX,81,18,08/04/2011,2,3,6,7,11,25,29,0
LOTTO MAX,81,19,08/04/2011,7,12,21,22,45,48,49,0
LOTTO MAX,81,20,08/04/2011,6,12,15,23,29,36,37,0
LOTTO MAX,81,21,08/04/2011,1,8,18,24,27,41,45,0
LOTTO MAX,81,22,08/04/2011,5,20,26,33,42,44,48,0
LOTTO MAX,81,23,08/04/2011,1,2,6,37,44,45,49,0
LOTTO MAX,81,24,08/04/2011,7,14,20,23,29,30,42,0
LOTTO MAX,82,0,15/04/2011,3,12,14,15,25,32,49,37
LOTTO MAX,82,1,15/04/2011,7,10,11,21,33,37,43,0
LOTTO MAX,82,2,15/04/2011,7,8,16,31,34,38,48,0
LOTTO MAX,82,3,15/04/2011,2,17,27,34,42,45,47,0
LOTTO MAX,82,4,15/04/2011,5,12,13,24,33,46,48,0
LOTTO MAX,82,5,15/04/2011,9,10,15,21,22,34,38,0
LOTTO MAX,82,6,15/04/2011,1,5,11,21,22,32,36,0
LOTTO MAX,82,7,15/04/2011,14,22,23,27,36,37,44,0
LOTTO MAX,82,8,15/04/2011,1,8,14,15,22,28,43,0
LOTTO MAX,82,9,15/04/2011,6,13,18,22,25,27,31,0
LOTTO MAX,82,10,15/04/2011,1,8,13,16,21,29,30,0
LOTTO MAX,82,11,15/04/2011,2,18,24,26,41,47,49,0
LOTTO MAX,82,12,15/04/2011,6,16,18,21,22,29,46,0
LOTTO MAX,82,13,15/04/2011,10,14,30,31,34,42,47,0
LOTTO MAX,82,14,15/04/2011,3,9,12,18,36,39,41,0
LOTTO MAX,82,15,15/04/2011,12,13,28,37,39,46,47,0
LOTTO MAX,82,16,15/04/2011,9,12,13,24,35,41,46,0
LOTTO MAX,82,17,15/04/2011,4,9,20,24,26,33,46,0
LOTTO MAX,82,18,15/04/2011,1,4,16,31,43,48,49,0
LOTTO MAX,82,19,15/04/2011,4,10,19,21,23,25,46,0
LOTTO MAX,82,20,15/04/2011,1,4,15,25,38,41,47,0
LOTTO MAX,82,21,15/04/2011,3,15,24,31,34,42,47,0
LOTTO MAX,82,22,15/04/2011,1,2,6,29,32,37,39,0
LOTTO MAX,82,23,15/04/2011,18,24,28,31,32,44,45,0
LOTTO MAX,82,24,15/04/2011,8,9,10,11,28,35,45,0
LOTTO MAX,82,25,15/04/2011,1,7,16,25,30,33,40,0
LOTTO MAX,82,26,15/04/2011,5,6,20,22,26,30,37,0
LOTTO MAX,82,27,15/04/2011,10,19,20,21,23,27,48,0
LOTTO MAX,82,28,15/04/2011,5,10,21,27,34,40,47,0
LOTTO MAX,82,29,15/04/2011,3,7,16,19,23,37,45,0
LOTTO MAX,82,30,15/04/2011,1,24,28,34,45,47,49,0
LOTTO MAX,82,31,15/04/2011,17,19,26,28,32,41,43,0
LOTTO MAX,82,32,15/04/2011,3,6,15,27,45,47,48,0
LOTTO MAX,82,33,15/04/2011,9,12,26,35,36,37,48,0
LOTTO MAX,82,34,15/04/2011,7,14,18,29,39,42,48,0
LOTTO MAX,82,35,15/04/2011,3,23,29,31,33,36,38,0
LOTTO MAX,82,36,15/04/2011,5,15,25,33,40,44,49,0
LOTTO MAX,82,37,15/04/2011,10,22,25,27,31,43,45,0
LOTTO MAX,82,38,15/04/2011,10,16,23,26,27,36,41,0
LOTTO MAX,82,39,15/04/2011,9,10,17,18,23,28,31,0
LOTTO MAX,82,40,15/04/2011,4,7,14,16,17,31,42,0
LOTTO MAX,83,0,22/04/2011,7,19,34,35,38,42,46,11
LOTTO MAX,84,0,29/04/2011,1,13,20,24,39,45,47,25
LOTTO MAX,85,0,06/05/2011,6,19,24,25,26,35,36,23
LOTTO MAX,86,0,13/05/2011,7,8,14,32,38,42,44,30
LOTTO MAX,87,0,20/05/2011,7,12,14,18,30,45,47,20
LOTTO MAX,88,0,27/05/2011,5,9,19,20,21,28,30,36
LOTTO MAX,89,0,03/06/2011,8,21,28,32,33,34,48,38
LOTTO MAX,90,0,10/06/2011,8,11,12,25,28,30,33,16
LOTTO MAX,91,0,17/06/2011,2,7,14,16,22,27,47,25
LOTTO MAX,92,0,24/06/2011,2,9,10,15,29,44,48,22
LOTTO MAX,93,0,01/07/2011,15,18,20,28,29,40,47,38
LOTTO MAX,94,0,08/07/2011,17,22,28,38,41,43,45,5
LOTTO MAX,95,0,15/07/2011,3,7,8,12,18,24,41,1
LOTTO MAX,96,0,22/07/2011,4,13,23,28,32,40,42,12
LOTTO MAX,97,0,29/07/2011,1,2,3,17,24,35,36,30
LOTTO MAX,98,0,05/08/2011,11,17,18,20,22,29,45,27
LOTTO MAX,99,0,12/08/2011,4,15,21,30,33,35,47,28
LOTTO MAX,100,0,19/08/2011,4,14,24,41,43,46,49,1
LOTTO MAX,101,0,26/08/2011,6,11,12,14,35,43,44,42
LOTTO MAX,102,0,02/09/2011,2,3,8,13,18,20,23,10
LOTTO MAX,103,0,09/09/2011,6,8,15,20,30,32,42,17
LOTTO MAX,104,0,16/09/2011,12,18,22,24,28,43,49,21
LOTTO MAX,105,0,23/09/2011,8,16,24,27,30,38,40,18
LOTTO MAX,106,0,30/09/2011,5,6,7,12,14,18,25,38
LOTTO MAX,107,0,07/10/2011,12,13,24,25,26,41,43,7
LOTTO MAX,107,1,07/10/2011,7,20,22,25,41,45,46,0
LOTTO MAX,107,2,07/10/2011,9,12,15,22,23,33,41,0
LOTTO MAX,108,0,14/10/2011,1,3,7,19,31,39,49,17
LOTTO MAX,109,0,21/10/2011,6,23,27,30,34,38,45,21
LOTTO MAX,110,0,28/10/2011,2,4,18,20,29,38,41,9
LOTTO MAX,111,0,04/11/2011,5,8,13,15,27,28,37,39
LOTTO MAX,112,0,11/11/2011,5,7,9,25,31,37,39,22
LOTTO MAX,112,1,11/11/2011,2,3,25,29,32,33,35,0
LOTTO MAX,112,2,11/11/2011,7,17,19,21,34,42,48,0
LOTTO MAX,113,0,18/11/2011,8,17,27,28,39,44,49,24
LOTTO MAX,113,1,18/11/2011,11,14,18,24,28,35,41,0
LOTTO MAX,113,2,18/11/2011,19,23,28,30,39,41,42,0
LOTTO MAX,113,3,18/11/2011,4,7,21,33,37,40,47,0
LOTTO MAX,113,4,18/11/2011,11,17,19,25,32,43,45,0
LOTTO MAX,113,5,18/11/2011,7,10,11,20,31,35,41,0
LOTTO MAX,113,6,18/11/2011,2,7,12,17,25,36,42,0
LOTTO MAX,113,7,18/11/2011,1,9,18,21,39,42,48,0
LOTTO MAX,113,8,18/11/2011,10,19,29,31,38,47,48,0
LOTTO MAX,113,9,18/11/2011,7,14,23,33,35,38,41,0
LOTTO MAX,113,10,18/11/2011,1,3,6,11,26,36,43,0
LOTTO MAX,113,11,18/11/2011,1,7,8,9,10,15,26,0
LOTTO MAX,113,12,18/11/2011,1,4,8,17,19,29,32,0
LOTTO MAX,113,13,18/11/2011,11,20,35,38,39,44,49,0
LOTTO MAX,113,14,18/11/2011,1,9,12,30,40,45,48,0
LOTTO MAX,113,15,18/11/2011,2,3,11,20,23,25,29,0
LOTTO MAX,113,16,18/11/2011,8,12,13,25,42,43,49,0
LOTTO MAX,113,17,18/11/2011,20,22,28,31,36,40,44,0
LOTTO MAX,114,0,25/11/2011,8,10,15,24,30,35,49,23
LOTTO MAX,115,0,02/12/2011,23,29,33,34,39,44,48,32
LOTTO MAX,116,0,09/12/2011,3,11,18,19,23,27,44,46
LOTTO MAX,117,0,16/12/2011,11,24,26,31,42,44,46,22
LOTTO MAX,118,0,23/12/2011,3,4,9,25,26,37,39,45
LOTTO MAX,118,1,23/12/2011,13,19,21,32,41,42,48,0
LOTTO MAX,118,2,23/12/2011,9,12,30,35,42,45,48,0
LOTTO MAX,119,0,30/12/2011,2,13,22,28,35,41,42,4
LOTTO MAX,119,1,30/12/2011,2,23,29,32,39,40,42,0
LOTTO MAX,119,2,30/12/2011,12,22,24,29,32,47,48,0
LOTTO MAX,119,3,30/12/2011,2,3,4,20,23,35,44,0
LOTTO MAX,119,4,30/12/2011,1,10,15,20,24,30,41,0
LOTTO MAX,119,5,30/12/2011,16,20,31,42,46,48,49,0
LOTTO MAX,119,6,30/12/2011,12,18,27,30,33,43,44,0
LOTTO MAX,119,7,30/12/2011,7,10,11,15,37,38,43,0
LOTTO MAX,119,8,30/12/2011,15,16,18,19,28,38,49,0
LOTTO MAX,119,9,30/12/2011,4,9,32,44,46,47,48,0
LOTTO MAX,119,10,30/12/2011,5,6,26,28,36,39,41,0
LOTTO MAX,120,0,06/01/2012,1,2,8,13,22,45,46,48
LOTTO MAX,121,0,13/01/2012,6,15,18,26,41,46,48,27
LOTTO MAX,122,0,20/01/2012,9,15,21,23,41,43,44,46
LOTTO MAX,123,0,27/01/2012,8,24,28,34,37,43,45,21
LOTTO MAX,123,1,27/01/2012,20,21,22,25,27,28,33,0
LOTTO MAX,123,2,27/01/2012,2,6,9,21,34,37,43,0
LOTTO MAX,124,0,03/02/2012,2,8,12,14,33,37,47,46
LOTTO MAX,124,1,03/02/2012,9,10,13,22,28,40,45,0
LOTTO MAX,124,2,03/02/2012,11,18,23,36,45,46,48,0
LOTTO MAX,124,3,03/02/2012,4,7,16,32,43,46,48,0
LOTTO MAX,124,4,03/02/2012,12,24,32,37,43,44,46,0
LOTTO MAX,124,5,03/02/2012,5,21,25,26,35,38,42,0
LOTTO MAX,124,6,03/02/2012,7,15,20,23,32,33,35,0
LOTTO MAX,124,7,03/02/2012,6,19,22,25,31,37,44,0
LOTTO MAX,124,8,03/02/2012,3,12,16,26,29,36,42,0
LOTTO MAX,124,9,03/02/2012,5,10,20,26,34,40,46,0
LOTTO MAX,124,10,03/02/2012,7,10,13,23,39,43,49,0
LOTTO MAX,125,0,10/02/2012,1,5,25,35,38,44,47,39
LOTTO MAX,126,0,17/02/2012,1,15,26,28,31,39,49,18
LOTTO MAX,127,0,24/02/2012,6,17,23,24,25,31,38,7
LOTTO MAX,128,0,02/03/2012,4,13,14,15,34,46,47,49
LOTTO MAX,129,0,09/03/2012,7,18,19,29,39,47,48,32
LOTTO MAX,130,0,16/03/2012,5,7,18,24,28,41,49,26
LOTTO MAX,130,1,16/03/2012,1,2,5,9,16,29,31,0
LOTTO MAX,130,2,16/03/2012,9,11,18,31,38,43,46,0
LOTTO MAX,131,0,23/03/2012,6,18,21,23,24,32,48,47
LOTTO MAX,131,1,23/03/2012,15,18,19,20,34,43,48,0
LOTTO MAX,131,2,23/03/2012,17,21,25,26,29,38,45,0
LOTTO MAX,131,3,23/03/2012,15,20,23,31,35,44,46,0
LOTTO MAX,131,4,23/03/2012,5,12,17,24,39,48,49,0
LOTTO MAX,131,5,23/03/2012,3,7,30,31,34,45,49,0
LOTTO MAX,131,6,23/03/2012,1,5,11,25,34,43,46,0
LOTTO MAX,131,7,23/03/2012,19,20,21,30,32,39,42,0
LOTTO MAX,131,8,23/03/2012,6,25,32,36,40,45,46,0
LOTTO MAX,131,9,23/03/2012,2,12,14,18,20,26,27,0
LOTTO MAX,131,10,23/03/2012,1,3,21,23,25,32,37,0
LOTTO MAX,131,11,23/03/2012,3,7,11,15,18,32,33,0
LOTTO MAX,131,12,23/03/2012,12,16,20,27,32,36,43,0
LOTTO MAX,131,13,23/03/2012,15,16,20,35,36,45,49,0
LOTTO MAX,131,14,23/03/2012,2,3,8,15,26,43,48,0
LOTTO MAX,132,0,30/03/2012,3,11,12,19,35,45,47,13
LOTTO MAX,133,0,06/04/2012,15,18,19,25,32,42,49,43
LOTTO MAX,134,0,13/04/2012,2,6,11,12,16,39,45,3
LOTTO MAX,135,0,20/04/2012,14,15,16,19,30,36,46,42
LOTTO MAX,136,0,27/04/2012,3,23,28,40,42,43,45,17
LOTTO MAX,137,0,04/05/2012,3,5,6,25,37,43,45,21
LOTTO MAX,137,1,04/05/2012,6,7,18,32,39,43,44,0
LOTTO MAX,137,2,04/05/2012,3,4,22,27,33,41,49,0
LOTTO MAX,138,0,11/05/2012,1,6,7,24,31,36,39,26
LOTTO MAX,138,1,11/05/2012,1,3,6,7,13,14,48,0
LOTTO MAX,138,2,11/05/2012,5,8,11,15,18,29,37,0
LOTTO MAX,138,3,11/05/2012,5,26,33,36,41,46,48,0
LOTTO MAX,138,4,11/05/2012,2,5,27,32,35,36,48,0
LOTTO MAX,138,5,11/05/2012,5,8,24,26,29,34,36,0
LOTTO MAX,138,6,11/05/2012,6,8,12,16,18,23,27,0
LOTTO MAX,138,7,11/05/2012,5,13,17,23,40,41,49,0
LOTTO MAX,138,8,11/05/2012,2,6,11,17,20,24,38,0
LOTTO MAX,138,9,11/05/2012,9,19,21,22,23,43,49,0
LOTTO MAX,138,10,11/05/2012,7,10,15,25,26,34,38,0
LOTTO MAX,139,0,18/05/2012,3,4,13,15,21,29,48,26
LOTTO MAX,139,1,18/05/2012,4,8,13,27,28,34,47,0
LOTTO MAX,139,2,18/05/2012,3,6,8,9,18,20,45,0
LOTTO MAX,139,3,18/05/2012,4,13,18,20,25,38,47,0
LOTTO MAX,139,4,18/05/2012,4,6,8,11,25,40,46,0
LOTTO MAX,139,5,18/05/2012,1,14,15,28,29,36,47,0
LOTTO MAX,139,6,18/05/2012,6,11,12,13,28,34,46,0
LOTTO MAX,139,7,18/05/2012,12,19,20,24,26,39,42,0
LOTTO MAX,139,8,18/05/2012,6,7,10,28,33,38,42,0
LOTTO MAX,139,9,18/05/2012,3,10,13,19,21,23,28,0
LOTTO MAX,139,10,18/05/2012,5,9,24,26,31,37,49,0
LOTTO MAX,139,11,18/05/2012,19,22,28,30,39,43,48,0
LOTTO MAX,139,12,18/05/2012,7,9,10,20,27,38,39,0
LOTTO MAX,139,13,18/05/2012,3,7,11,21,25,31,32,0
LOTTO MAX,139,14,18/05/2012,4,5,21,32,41,42,45,0
LOTTO MAX,139,15,18/05/2012,2,13,15,18,24,34,35,0
LOTTO MAX,139,16,18/05/2012,3,17,20,25,36,44,48,0
LOTTO MAX,139,17,18/05/2012,9,15,16,17,30,35,43,0
LOTTO MAX,139,18,18/05/2012,3,5,11,19,24,46,47,0
LOTTO MAX,139,19,18/05/2012,7,19,20,30,31,35,46,0
LOTTO MAX,139,20,18/05/2012,12,22,26,31,35,40,48,0
LOTTO MAX,140,0,25/05/2012,1,2,3,6,12,20,41,10
LOTTO MAX,141,0,01/06/2012,4,7,13,24,26,27,43,41
LOTTO MAX,142,0,08/06/2012,9,10,16,24,26,44,48,27
LOTTO MAX,143,0,15/06/2012,8,11,20,28,36,43,47,18
LOTTO MAX,143,1,15/06/2012,2,12,13,19,27,30,31,0
LOTTO MAX,143,2,15/06/2012,5,6,9,16,25,27,39,0
LOTTO MAX,143,3,15/06/2012,4,11,14,22,37,39,44,0
LOTTO MAX,143,4,15/06/2012,14,17,21,31,32,33,43,0
LOTTO MAX,143,5,15/06/2012,5,20,21,25,26,30,33,0
LOTTO MAX,143,6,15/06/2012,8,10,12,13,25,27,31,0
LOTTO MAX,144,0,22/06/2012,1,12,20,22,30,34,38,33
LOTTO MAX,144,1,22/06/2012,6,8,12,13,16,28,37,0
LOTTO MAX,144,2,22/06/2012,4,13,23,24,37,42,45,0
LOTTO MAX,144,3,22/06/2012,4,6,7,34,35,41,46,0
LOTTO MAX,144,4,22/06/2012,3,6,19,27,29,31,34,0
LOTTO MAX,144,5,22/06/2012,2,9,12,19,22,26,39,0
LOTTO MAX,144,6,22/06/2012,2,3,4,14,22,26,36,0
LOTTO MAX,144,7,22/06/2012,3,10,18,24,30,41,48,0
LOTTO MAX,144,8,22/06/2012,1,2,18,31,32,39,45,0
LOTTO MAX,144,9,22/06/2012,4,10,17,19,22,31,37,0
LOTTO MAX,144,10,22/06/2012,2,3,20,23,27,34,49,0
LOTTO MAX,144,11,22/06/2012,6,11,15,25,34,37,44,0
LOTTO MAX,144,12,22/06/2012,1,14,15,17,23,31,40,0
LOTTO MAX,144,13,22/06/2012,3,6,19,20,26,30,40,0
LOTTO MAX,144,14,22/06/2012,5,26,30,42,44,45,48,0
LOTTO MAX,144,15,22/06/2012,3,4,14,15,19,20,44,0
LOTTO MAX,144,16,22/06/2012,2,4,5,9,16,35,37,0
LOTTO MAX,144,17,22/06/2012,14,27,29,35,41,42,49,0
LOTTO MAX,144,18,22/06/2012,14,23,24,25,34,41,43,0
LOTTO MAX,145,0,29/06/2012,10,14,20,28,35,40,42,44
LOTTO MAX,145,1,29/06/2012,6,17,25,32,34,38,42,0
LOTTO MAX,145,2,29/06/2012,7,8,10,27,30,37,41,0
LOTTO MAX,145,3,29/06/2012,2,18,26,30,33,40,48,0
LOTTO MAX,145,4,29/06/2012,13,22,28,32,40,46,49,0
LOTTO MAX,145,5,29/06/2012,3,25,28,31,39,44,49,0
LOTTO MAX,145,6,29/06/2012,4,8,11,20,30,39,40,0
LOTTO MAX,145,7,29/06/2012,3,9,21,22,23,29,43,0
LOTTO MAX,145,8,29/06/2012,1,8,9,22,33,35,36,0
LOTTO MAX,145,9,29/06/2012,5,12,13,14,27,30,33,0
LOTTO MAX,145,10,29/06/2012,11,20,31,33,37,47,48,0
LOTTO MAX,145,11,29/06/2012,6,14,18,20,25,37,43,0
LOTTO MAX,145,12,29/06/2012,3,4,19,26,28,35,41,0
LOTTO MAX,145,13,29/06/2012,1,8,15,23,24,32,46,0
LOTTO MAX,145,14,29/06/2012,3,11,13,24,29,40,41,0
LOTTO MAX,145,15,29/06/2012,2,10,24,25,31,38,49,0
LOTTO MAX,145,16,29/06/2012,2,3,5,10,12,30,35,0
LOTTO MAX,145,17,29/06/2012,1,2,8,35,42,43,44,0
LOTTO MAX,145,18,29/06/2012,15,22,23,27,34,36,48,0
LOTTO MAX,145,19,29/06/2012,2,14,17,18,24,36,43,0
LOTTO MAX,145,20,29/06/2012,1,2,11,16,25,28,41,0
LOTTO MAX,145,21,29/06/2012,3,10,21,26,30,35,49,0
LOTTO MAX,145,22,29/06/2012,3,4,10,14,23,24,49,0
LOTTO MAX,145,23,29/06/2012,2,6,7,14,21,36,38,0
LOTTO MAX,145,24,29/06/2012,6,8,14,22,39,45,49,0
LOTTO MAX,145,25,29/06/2012,4,16,18,23,39,44,49,0
LOTTO MAX,145,26,29/06/2012,11,28,29,34,35,39,44,0
LOTTO MAX,145,27,29/06/2012,5,8,12,20,33,42,45,0
LOTTO MAX,145,28,29/06/2012,3,4,14,17,33,38,44,0
LOTTO MAX,146,0,06/07/2012,14,26,31,34,37,45,48,38
LOTTO MAX,146,1,06/07/2012,11,12,14,16,20,33,48,0
LOTTO MAX,146,2,06/07/2012,7,17,22,32,34,40,47,0
LOTTO MAX,146,3,06/07/2012,2,11,15,17,40,43,49,0
